image,,iou,precision,recall,f1,accuracy,true_positives,false_positives,false_negatives,true_negatives
hz009.png,1,0.6704230921312772,0.6706882911392406,0.999410551,0.802698544,0.9745635986328125,3391,1665,2,60478
df012.png,1,0.7632311977715878,0.7806267806267806,0.9716312056737588,0.8657187993680885,0.9779510498046875,4658,1309,136,59433
hz015.png,1,0.5739747634069401,0.5945107008658715,0.9432348367029549,0.7293315963523399,0.9587860107421875,3639,2482,219,59196
hz021.png,1,0.092025227,1,0.092025227,0.16854047773639066,0.6287384033203125,2466,0,24331,38739
hz029.png,1,0.5987446760815961,0.6089831281349749,0.9726875455207574,0.7490185081323611,0.945373535,5342,3430,150,56614
hz035.png,1,0.7245615521477591,0.7368602447010167,0.977483141,0.8402849422746254,0.9503936767578125,8552,3054,197,53733
hz001.png,1,0.8555833102044592,0.9681742043551089,0.8803426939552594,0.9221718103405295,0.9761810302734375,9248,304,1257,54727
df017.png,1,0,0,0,0,0.764099121,0,0,15460,50076
df022.png,1,0.4701747597859031,0.8380459770114943,0.5171655553979287,0.6396175103079218,0.874633789,7291,1409,6807,50029
hz013.png,1,0.711486789,0.8899313821593614,0.7801374907930273,0.8314253941257278,0.9606781005859375,6355,786,1791,56604
hz059.png,1,0.5617553613979349,0.6001272804412389,0.8978102189781022,0.7193897012078829,0.932647705,5658,3770,644,55464
hz060.png,1,0.3376609207942396,0.6153081510934394,0.428018255,0.5048527852540575,0.9073638916015625,3095,1935,4136,56370
df003.png,1,0,0,0,0,0.9652557373046875,0,0,2277,63259
df004.png,1,0.8431274066633183,0.9575965012359764,0.8758260869565218,0.914887819,0.9857025146484375,5036,223,714,59563
hz038.png,1,0.5692709846064479,0.981226533,0.5755395683453237,0.7255228576716638,0.954742432,3920,75,2891,58650
hz072.png,1,0.5367629786234437,0.7044858948666564,0.6927391238441716,0.6985631305411188,0.939819336,4570,1917,2027,57022
hz063.png,1,0.5586831477175377,0.5605353634577603,0.9941202090592335,0.7168655778894473,0.944976807,4565,3579,27,57365
hz069.png,1,0.3773534398144017,1,0.3773534398144017,0.5479398807981343,0.89352417,4229,0,6978,54329
hz050.png,1,0.7128096436614121,0.9950073964497042,0.7153682531241691,0.8323279195668987,0.966918945,5381,27,2141,57987
hz076.png,1,0.5795195954487989,0.6214750542299349,0.895662368,0.7337922202657275,0.9746246337890625,2292,1396,267,61581
hz010.png,1,0.6986510008703221,0.7044756472136903,0.9883040935672515,0.8225951069552966,0.9788665771484375,3211,1347,38,60940
hz030.png,1,0.8165842006483536,0.9399057344854674,0.8615661566156616,0.8990325913402836,0.9835968017578125,4786,306,769,59675
hz018.png,#N/A,0.7187628865979382,0.7638036809815951,0.9241781548250265,0.8363723608445297,0.989593506,1743,539,143,63111
hz006.png,#N/A,0.7203527815468114,0.7272602739726027,0.9869864287042202,0.8374477482451298,0.9685516357421875,5309,1991,70,58166
hz022.png,#N/A,0.012965582272512965,1,0.012965582272512965,0.025599255294391433,0.9361114501953125,55,0,4187,61294
hz037.png,#N/A,0.7589134125636672,0.9530916844349681,0.7883597883597884,0.862934363,0.98916626,2235,110,600,62591
df005.png,#N/A,0.504356947,1,0.504356947,0.6705282917672298,0.9062652587890625,6251,0,6143,53142
hz040.png,#N/A,0.6203860480866915,0.6695906432748538,0.8940946803318692,0.7657262277951934,0.9828948974609375,1832,904,217,62583
hz044.png,#N/A,0.7640860529781941,0.9138806231402066,0.8233717079325028,0.8662684586029533,0.975402832,5221,492,1120,58703
hz002.png,#N/A,0.3988439306358382,0.3988439306358382,1,0.5702479338842975,0.965087891,1518,2288,0,61730
hz058.png,#N/A,0.2953249714937286,0.2953249714937286,1,0.45598591549295775,0.896270752,2849,6798,0,55889
df006.png,#N/A,0.2385395537525355,1,0.2385395537525355,0.38519489027186377,0.9140777587890625,1764,0,5631,58141
hz004.png,#N/A,0.452846975,0.452846975,1,0.6233925290875689,0.981231689,1018,1230,0,63288
hz024.png,#N/A,0.341700257,0.9199276553765209,0.3521747340592938,0.5093540898538851,0.8355255126953125,5595,487,10292,49162
hz016.png,#N/A,0.696772142,0.7269409422694094,0.9437863450355374,0.8212913503889046,0.9709014892578125,4382,1646,261,59247
df029.png,#N/A,0.48312670261855784,0.7569027088232733,0.571861016,0.6514975447014282,0.8581390380859375,8690,2791,6506,47549
df035.png,#N/A,0.6467183269535991,0.9312987362194138,0.6791176470588235,0.7854632044449483,0.942260742,6927,511,3273,54825
hz057.png,#N/A,0.5606995884773662,0.563831988,0.9901889534883721,0.7185234014502306,0.9674224853515625,2725,2108,27,60676
df008.png,#N/A,0.6390694491960315,0.9975080099679601,0.6400913763563678,0.7797954498017114,0.9517059326171875,5604,14,3151,56767
hz042.png,#N/A,0.369969512,0.369969512,1,0.540113497,0.9369354248046875,2427,4133,0,58976
hz014.png,#N/A,0.2713927294079966,1,0.2713927294079966,0.4269219465087963,0.7917327880859375,5084,0,13649,46803
df013.png,#N/A,0.7555787847111758,1,0.7555787847111758,0.8607745676711194,0.917938232,16625,0,5378,43533
hz065.png,#N/A,0.23342293906810035,0.23342293906810035,1,0.37849618597893203,0.9216766357421875,1563,5133,0,58840
hz075.png,#N/A,0.6726639582124202,0.8908531898539584,0.7330803289057558,0.8043025676613461,0.965576172,4636,568,1688,58644
df030.png,#N/A,0.2495659722222222,0.997398092,0.249728556,0.39944425147620705,0.894470215,2300,6,6910,56320
df031.png,#N/A,0.3938270772963138,1,0.3938270772963138,0.565101774,0.8627471923828125,5844,0,8995,50697
hz023.png,#N/A,0.3564590426597236,0.9988775395667303,0.3566018833901022,0.5255728797543113,0.754852295,8899,10,16056,40571
hz066.png,#N/A,0.15614430665163473,0.15614430665163473,1,0.27011214041930764,0.9314727783203125,831,4491,0,60214
hz025.png,#N/A,0.2436278342455043,0.9298716800954939,0.2481879729191557,0.39180183578523825,0.852386475,3116,235,9439,52746
hz036.png,#N/A,0.7350454118383964,0.7390962053219965,0.9925988581095369,0.8472924187725631,0.974182129,4694,1657,35,59150
df036.png,#N/A,0.36738836265223274,0.9908759124087592,0.36863543788187375,0.537357744,0.971466064,1086,10,1860,62580
